pl_name,hostname,sy_dist,st_teff,st_mass,st_rad,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,discoverymethod,disc_year,disc_facility
HD 219134 d,HD 219134,6.53127000,4699.00,0.810000,0.778000,16.17000000,1.61000000,46.85900000000,0.2370000000,410.50,Radial Velocity,2015,Roque de los Muchachos Observatory
HD 219134 g,HD 219134,6.53127000,4913.00,0.794000,0.770000,10.80622000,3.28000000,94.20000000000,0.3753000000,339.34,Radial Velocity,2015,Multiple Observatories
HD 219134 h,HD 219134,6.53127000,4913.00,0.794000,0.770000,108.06220000,12.70000000,2247.00000000000,3.1100000000,117.88,Radial Velocity,2015,Roque de los Muchachos Observatory
HD 260655 b,HD 260655,10.00550000,3803.00,0.439000,0.439000,2.14000000,1.24000000,2.76953000000,0.0293300000,709.00,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 260655 c,HD 260655,10.00550000,3803.00,0.439000,0.439000,3.09000000,1.53300000,5.70588000000,0.0474900000,557.00,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 285968 b,HD 285968,9.47045000,3703.49,0.500000,0.478214,8.40000000,2.83000000,8.78360000000,0.0660000000,450.00,Radial Velocity,2008,La Silla Observatory
HD 33564 b,HD 33564,20.95310000,6250.00,1.250000,1.436700,2892.10000000,12.50000000,388.00000000000,1.1000000000,344.43,Radial Velocity,2005,Haute-Provence Observatory
HD 3651 b,HD 3651,11.13360000,5221.00,0.799000,0.871954,72.46524000,10.10000000,62.25000000000,0.2950000000,432.84,Radial Velocity,2003,Multiple Observatories
HD 69830 b,HD 69830,12.55910000,5385.00,0.860000,0.886947,10.20000000,3.17000000,8.66700000000,0.0785000000,872.84,Radial Velocity,2006,La Silla Observatory
HD 69830 c,HD 69830,12.55910000,5385.00,0.860000,0.886947,11.80000000,3.46000000,31.56000000000,0.1860000000,567.04,Radial Velocity,2006,La Silla Observatory
HD 69830 d,HD 69830,12.55910000,5385.00,0.860000,0.886947,18.10000000,4.45000000,197.00000000000,0.6300000000,308.10,Radial Velocity,2006,La Silla Observatory
HD 86728 b,HD 86728,14.92020000,5610.00,0.967000,1.237000,9.43000000,3.03000000,31.15150000000,0.1916000000,687.36,Radial Velocity,2025,Multiple Observatories
HIP 54515 b,HIP 54515,82.81010000,8100.00,1.900000,1.649150,5625.56280390,12.20000000,33000.00000000000,24.8000000000,100.72,Imaging,2026,Subaru Telescope
HIP 99770 b,HIP 99770,40.07650000,8000.00,1.900000,1.939860,5403.08291900,12.20000000,18600.00000000000,15.8000000000,135.17,Imaging,2023,Multiple Observatories
HR 810 b,HR 810,17.31810000,6167.00,1.340000,1.130000,1970.53612340,12.70000000,302.79999000000,0.9200000000,329.57,Radial Velocity,1999,La Silla Observatory
K2-18 c,K2-18,38.02660000,3457.00,0.359000,0.411000,7.51000000,2.65000000,8.96200000000,0.0600000000,363.00,Radial Velocity,2017,La Silla Observatory
K2-18 b,K2-18,38.02660000,3457.00,0.359000,0.411000,8.92000000,2.37000000,32.93962300000,0.1429000000,284.00,Transit,2015,K2
Kapteyn c,Kapteyn,3.93305000,3550.00,0.281000,0.291000,7.00000000,2.54000000,121.54000000000,0.3110000000,165.59,Radial Velocity,2014,Multiple Observatories
KELT-20 b,KELT-20,136.42600000,8720.00,1.760000,1.565000,1074.90106000,19.51486900,3.47410850000,0.0542000000,2262.00,Transit,2017,KELT-North
KELT-9 b,KELT-9,204.45500000,10170.00,2.520000,2.362000,915.35040000,21.19621900,1.48112350000,0.0346200000,4050.00,Transit,2017,KELT-North
Kepler-186 b,Kepler-186,177.59400000,3788.00,0.478000,0.472000,1.24000000,1.07000000,3.88679070000,0.0343000000,571.00,Transit,2014,Kepler
Kepler-186 c,Kepler-186,177.59400000,3788.00,0.478000,0.472000,2.10000000,1.25000000,7.26730200000,0.0451000000,464.00,Transit,2014,Kepler
Kepler-186 d,Kepler-186,177.59400000,3788.00,0.478000,0.472000,2.54000000,1.40000000,13.34299600000,0.0781000000,379.00,Transit,2014,Kepler
Kepler-186 e,Kepler-186,177.59400000,3788.00,0.478000,0.472000,2.15000000,1.27000000,22.40770400000,0.1100000000,319.00,Transit,2014,Kepler
Kepler-186 f,Kepler-186,177.59400000,3755.00,0.544000,0.523000,1.71000000,1.17000000,129.94410000000,0.4320000000,177.00,Transit,2014,Kepler
Kepler-20 b,Kepler-20,282.56300000,5495.00,0.929000,0.916400,9.70000000,1.77300000,3.69610490000,0.0456500000,1187.00,Transit,2011,Kepler
Kepler-20 e,Kepler-20,282.56300000,5495.00,0.929000,0.916400,0.76000000,0.82100000,6.09848820000,0.0637000000,1004.00,Transit,2011,Kepler
Kepler-20 c,Kepler-20,282.56300000,5495.00,0.929000,0.916400,11.10000000,2.89400000,10.85407740000,0.0936000000,828.00,Transit,2011,Kepler
Kepler-20 f,Kepler-20,282.56300000,5495.00,0.929000,0.916400,1.40000000,0.95200000,19.57832800000,0.1387000000,681.00,Transit,2011,Kepler
Kepler-20 g,Kepler-20,282.56300000,5495.00,0.948000,0.963900,19.96000000,4.71000000,34.94000000000,0.2055000000,524.00,Radial Velocity,2016,Multiple Observatories
Kepler-20 d,Kepler-20,282.56300000,5495.00,0.929000,0.916400,13.40000000,2.60600000,77.61145500000,0.3474000000,430.00,Transit,2011,Kepler
KOI-351 b,KOI-351,848.25400000,6080.00,1.200000,1.200000,2.27000000,1.31000000,7.00815100000,0.0740000000,1062.00,Transit,2013,Kepler
KOI-351 c,KOI-351,848.25400000,6080.00,1.200000,1.200000,1.81000000,1.19000000,8.71937500000,0.0890000000,987.00,Transit,2013,Kepler
Kepler-90 i,KOI-351,848.25400000,6015.00,1.120000,1.290000,2.30000000,1.32000000,14.44912000000,0.1201380843,709.00,Transit,2017,Kepler
KOI-351 d,KOI-351,848.25400000,6080.00,1.200000,1.200000,8.60000000,2.87000000,59.73667000000,0.3200000000,520.00,Transit,2013,Kepler
KOI-351 e,KOI-351,848.25400000,6080.00,1.200000,1.200000,7.56000000,2.66000000,91.93913000000,0.4200000000,450.00,Transit,2013,Kepler
KOI-351 f,KOI-351,848.25400000,6080.00,1.200000,1.200000,8.65000000,2.88000000,124.91440000000,0.4800000000,407.00,Transit,2013,Kepler
KOI-351 g,KOI-351,848.25400000,6031.13,1.242000,1.185000,15.00000000,7.71800000,210.73514000000,0.7170400000,342.00,Transit,2013,Kepler
KOI-351 h,KOI-351,848.25400000,6031.13,1.242000,1.185000,203.00000000,11.25200000,331.60296000000,0.9706200000,294.00,Transit,2013,Kepler
LHS 1140 c,LHS 1140,14.98610000,3096.00,0.184400,0.215900,1.91000000,1.27200000,3.77794000000,0.0270000000,422.00,Transit,2018,Multiple Observatories
LHS 1140 b,LHS 1140,14.98610000,3096.00,0.184400,0.215900,5.60000000,1.73000000,24.73723000000,0.0946000000,226.00,Transit,2017,MEarth Project
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,3200.00000000,5912.00,1.000000,,1500.00000000,12.90000000,5480.00000000000,5.0000000000,,Microlensing,2019,OGLE
Proxima Cen d,Proxima Cen,1.30119000,2900.00,0.122100,0.141000,0.26000000,0.69200000,5.12338000000,0.0288100000,282.00,Radial Velocity,2025,La Silla Observatory
Proxima Cen b,Proxima Cen,1.30119000,2900.00,0.122100,0.141000,1.05500000,1.02000000,11.18465000000,0.0484800000,218.00,Radial Velocity,2016,European Southern Observatory
